童	juvenile		12	436	18
瞳	pupil		17	437	18
鐘	bell		20	438	18
商	make a deal		11	439	18
嫡	legitimate wife		14	440	18
適	suitable		14	441	18
滴	drip		14	442	18
敵	enemy		15	443	18
匕	spoon		2	444	18
北	north		5	445	18
背	stature		9	446	18
比	compare		4	447	18
昆	descendants		8	448	18
皆	all		9	449	18
混	mix		11	450	18
渇	thirst		11	451	18
謁	audience		15	452	18
褐	brown		13	453	18
喝	hoarse		11	454	18
旨	delicious		6	455	18
脂	fat		10	456	18
壱	I (one; Roman numeral)		7	457	18
毎	every		6	458	18
敏	cleverness		10	459	18
梅	plum		10	460	18
海	sea		9	461	18
乞	beg		3	462	18
乾	drought		11	463	18
腹	abdomen		13	464	18
複	duplicate		14	465	18
欠	lack		4	466	18
吹	blow		7	467	18
炊	cook		8	468	18
歌	song		14	469	18
軟	soft		11	470	18
次	next		6	471	18
茨	briar		9	472	18
資	assets		13	473	18
姿	figure		9	474	18
諮	consult with		16	475	18
賠	compensation		15	476	19
培	cultivate		11	477	19
剖	divide		10	478	19
音	sound		9	479	19
暗	darkness		13	480	19
韻	rhyme		19	481	19
識	discriminating		19	482	19
鏡	mirror		19	483	19
境	boundary		14	484	19
亡	deceased		3	485	19
盲	blind		8	486	19
妄	delusion		6	487	19
荒	laid waste		9	488	19
望	ambition		11	489	19
方	direction		4	490	19
妨	disturb		7	491	19
坊	boy		7	492	19
芳	perfumed		7	493	19
肪	obese		8	494	19
訪	call on		11	495	19
放	set free		8	496	19
激	violent		16	497	19
脱	undress		11	498	19
説	rumor		14	499	19
鋭	pointed		15	500	19
曽	formerly		11	501	19
増	increase		14	502	19
贈	presents		18	503	19
東	east		8	504	19
棟	ridgepole		12	505	19
凍	frozen		10	506	19
妊	pregnancy		7	507	19
廷	courts		7	508	19
染	dye		9	509	20
燃	burn		16	510	20
賓	V.I.P.		15	511	20
歳	year-end		13	512	20
県	prefecture		9	513	20
栃	horse chestnut		9	514	20
地	ground		6	515	21
池	pond		6	516	21
虫	insect		6	517	21
蛍	lightning bug		11	518	21
蛇	snake		11	519	21
虹	rainbow		9	520	21
蝶	butterfly		15	521	21
独	single		9	522	21
蚕	silkworm		10	523	21
風	wind		9	524	21
己	self		3	525	21
起	rouse		10	526	21
妃	queen		6	527	21
改	reformation		7	528	21
記	scribe		10	529	21
包	wrap		5	530	21
胞	placenta		9	531	21
砲	cannon		10	532	21
泡	bubble		8	533	21
亀	tortoise		11	534	21
電	electricity		13	535	21
竜	dragon		10	536	21
滝	waterfall		13	537	21
豚	pork		11	538	21
逐	pursue		10	539	21
遂	consummate		12	540	21
家	house		10	541	21
嫁	marry into		13	542	21
豪	overpowering		14	543	21
腸	intestines		13	544	21
場	location		12	545	21
湯	hot water		12	546	21
羊	sheep		6	547	21
美	beauty		9	548	21
洋	ocean		9	549	21
詳	detailed		13	550	21
鮮	fresh		17	551	21
達	accomplished		12	552	21
羨	envious		13	553	21
差	distinction		10	554	21
着	don		12	555	21
唯	solely		11	556	21
焦	char		12	557	21
礁	reef		17	558	21
集	gather		12	559	21
准	quasi-		10	560	21
進	advance		11	561	21
雑	miscellaneous		14	562	21
雌	feminine		14	563	21
準	semi-		13	564	21
奮	stirred up		16	565	21
奪	rob		14	566	21
確	assurance		15	567	21
午	noon		4	568	21
許	permit		11	569	21
歓	delight		15	570	21
権	authority		15	571	21
観	outlook		18	572	21
羽	feathers		6	573	21
習	learn		11	574	21
翌	the following		11	575	21
曜	weekday		18	576	21
濯	laundry		17	577	21
曰	sayeth		4	578	22
困	quandary		7	579	22
固	harden		8	580	22
国	country		8	581	22
団	group		6	582	22
因	cause		6	583	22
姻	matrimony		9	584	22
園	park		13	585	22
回	#NAME?		6	586	22
壇	podium		16	587	22
店	store		8	588	22
庫	warehouse		10	589	22
庭	courtyard		10	590	22
庁	government office		5	591	22
床	bed		7	592	22
麻	hemp		11	593	22
磨	grind		16	594	22
心	heart		4	595	22
忘	forget		7	596	22
忍	endure		7	597	22
認	acknowledge		14	598	22
忌	mourning		7	599	22
志	intention		7	600	22
誌	document		14	601	22
忠	loyalty		8	602	22
串	shish kebab		7	603	22
患	afflicted		11	604	22
思	think		9	605	22
恩	grace		10	606	22
応	apply		7	607	22
意	idea		13	608	22
想	concept		13	609	22
息	breath		10	610	22
憩	recess		16	611	22
恵	favor		10	612	22
恐	fear		10	613	22
惑	beguile		12	614	22
感	emotion		13	615	22
憂	melancholy		15	616	22
寡	widow		14	617	22
忙	busy		6	618	22
悦	ecstasy		10	619	22
恒	constancy		9	620	22
悼	lament		11	621	22
悟	enlightenment		10	622	22
怖	dreadful		8	623	22
慌	disconcerted		12	624	22
悔	repent		9	625	22
憎	hate		14	626	22
慣	accustomed		14	627	22
愉	pleasure		12	628	22
惰	lazy		12	629	22
慎	humility		13	630	22
憾	remorse		16	631	22
憶	recollection		16	632	22
慕	pining		14	633	22
添	annexed		11	634	22
必	invariably		5	635	22
泌	ooze		8	636	22
手	hand		4	637	23
看	watch over		9	638	23
摩	chafe		15	639	23
我	ego		7	640	23
義	righteousness		13	641	23
議	deliberation		20	642	23
犠	sacrifice		17	643	23
抹	rub		8	644	23
抱	embrace		8	645	23
搭	board		12	646	23
抄	extract		7	647	23
抗	confront		7	648	23
批	criticism		7	649	23
招	beckon		8	650	23
拓	clear the land		8	651	23
拍	clap		8	652	23
打	strike		5	653	23
拘	arrest		8	654	23
捨	discard		11	655	23
拐	kidnap		8	656	23
摘	pinch		14	657	23
挑	challenge		9	658	23
指	finger		9	659	23
持	hold		9	660	23
括	fasten		9	661	23
